reviews,reviewers,date_reviews,rating,course_id
"Pretty dry, but I was able to pass with just two complete watches so I'm happy about that.  As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken.  Never found the suplimental material that the course references... but who cares... i passed!",By Robert S,"Feb 12, 2020",4,google-cbrs-cpi-training
would be a better experience if the video and screen shots would sho on the side of the text that the instructor is going thru so that user does not have to go all the way to beginning of text to be able to view any slides instructor is showing.,By Gabriel E R,"Sep 28, 2020",4,google-cbrs-cpi-training
Information was perfect! The program itself was a little annoying. I had to wait 30 to 45 minutes after watching the videos to to take the quiz. Other than that the information was perfect and passed the test with no issues!,By Jacob D,"Apr 08, 2020",4,google-cbrs-cpi-training
A few grammatical mistakes on test made me do a double take but all in all not bad.,By Dale B,"Feb 24, 2020",4,google-cbrs-cpi-training
Excellent course and the training provided was very detailed and easy to follow.,By Sean G,"Jun 18, 2020",4,google-cbrs-cpi-training
Some of the quizzes contained material not explicitly covered in the course. ,By Daniel F,"Dec 23, 2019",4,google-cbrs-cpi-training
Solid presentation all the way through. I really appreciated the intermittent questions that popped up to check on learning as well the regular (but not needless) quizzing. There was visuals such as charts / .ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation!,By Logan D,"Sep 03, 2020",5,google-cbrs-cpi-training
"Probably the best certification course I've taken in this respect. The course is planned out carefully, and I believe gave me everything I needed to ace my exam the first time around. The trainer for the majority of the course was awesome. She delivered the material in a great, professional mannor, but was never boring or monotoned. ",By Luis M C,"Nov 21, 2019",5,google-cbrs-cpi-training
The ProctorU.com system took 2 times the amount of time spent on this course over 3 days to complete.  It is the worse production user system I have used in 20+ years of my IT career.    You should switch to another vendor.,By scott w,"Sep 28, 2020",5,google-cbrs-cpi-training
"Covered all of the required information in an easy to understand way and WITH VIDEO! Great, easy way to learn. The exam process was a bit drawn out and more extensive then it needed to be, but over all a great experience",By Ryan H,"Aug 26, 2019",5,google-cbrs-cpi-training
"Great course, lectures were straight forward and easy to follow along.  The course provided all the information necessary to pass the CPI examination for certification.",By Samuel D,"Jan 24, 2020",5,google-cbrs-cpi-training
The course was straight forward and prepared me for the CPI exam. The course provided everything I needed to pass the exam. Thanks Google... thanks Coursera.,By Scot A W,"May 01, 2020",5,google-cbrs-cpi-training
"Pretty well designed course. Few things on the test werent covered, but if you read the provided resources you should be fine. ",By Jonathan L,"Jan 17, 2020",5,google-cbrs-cpi-training
"Great course, i have feedback about one question and learning item id like to give feedback on. related to OMNI antennas",By Geoff T,"Jul 21, 2019",5,google-cbrs-cpi-training
"The course was fine but I never received an email to download mt certificate, I have the password. Please contact me.",By William J,"Jun 07, 2019",5,google-cbrs-cpi-training
Well presented course material that takes you step by step through the required learning. ,By Ariel R,"Sep 27, 2019",5,google-cbrs-cpi-training
Course is easy enough if you have a basic background of installing wireless equipment.,By Austin N,"Dec 27, 2019",5,google-cbrs-cpi-training
The instructions were clear and concise. I enjoyed the learning process.,By Jayson P J,"Nov 22, 2019",5,google-cbrs-cpi-training
Easy to follow. Did a good job at teaching me the material. ,By Robert S,"Nov 07, 2019",5,google-cbrs-cpi-training
"Excellent Training, More than enough to pass the test.",By Scott C,"Sep 02, 2020",5,google-cbrs-cpi-training
very helpful informative course to get CPI certificate,By Wei W,"Mar 23, 2020",5,google-cbrs-cpi-training
"Material covered well, and easy to use application.",By Hugh H,"Sep 01, 2019",5,google-cbrs-cpi-training
Was able to knock it out in a day very good info.,By Jesse E,"Sep 23, 2020",5,google-cbrs-cpi-training
easy to follow along with and understand,By Aaron M,"Oct 30, 2019",5,google-cbrs-cpi-training
online learning was great,By Hoang D,"Apr 03, 2020",5,google-cbrs-cpi-training
Very well explained.,By Century S,"Feb 25, 2020",5,google-cbrs-cpi-training
Excellent course!,By Dan S,"Feb 13, 2020",5,google-cbrs-cpi-training
Great course.,By Andrew J H,"Aug 30, 2020",5,google-cbrs-cpi-training
Great course ,By KARAN K S,"Aug 17, 2020",5,google-cbrs-cpi-training
Great course,By Landon S,"Feb 09, 2020",5,google-cbrs-cpi-training
Great course,By Mark B,"Dec 03, 2019",5,google-cbrs-cpi-training
Solid presentation all the way through. I really appreciated the intermittent questions that popped up to check on learning as well the regular (but not needless) quizzing. There was visuals such as charts / .ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation!,By Logan D,"Sep 03, 2020",5,google-cbrs-cpi-training
"Probably the best certification course I've taken in this respect. The course is planned out carefully, and I believe gave me everything I needed to ace my exam the first time around. The trainer for the majority of the course was awesome. She delivered the material in a great, professional mannor, but was never boring or monotoned. ",By Luis M C,"Nov 21, 2019",5,google-cbrs-cpi-training
The ProctorU.com system took 2 times the amount of time spent on this course over 3 days to complete.  It is the worse production user system I have used in 20+ years of my IT career.    You should switch to another vendor.,By scott w,"Sep 28, 2020",5,google-cbrs-cpi-training
"Covered all of the required information in an easy to understand way and WITH VIDEO! Great, easy way to learn. The exam process was a bit drawn out and more extensive then it needed to be, but over all a great experience",By Ryan H,"Aug 26, 2019",5,google-cbrs-cpi-training
"Great course, lectures were straight forward and easy to follow along.  The course provided all the information necessary to pass the CPI examination for certification.",By Samuel D,"Jan 24, 2020",5,google-cbrs-cpi-training
The course was straight forward and prepared me for the CPI exam. The course provided everything I needed to pass the exam. Thanks Google... thanks Coursera.,By Scot A W,"May 01, 2020",5,google-cbrs-cpi-training
"Pretty well designed course. Few things on the test werent covered, but if you read the provided resources you should be fine. ",By Jonathan L,"Jan 17, 2020",5,google-cbrs-cpi-training
"Great course, i have feedback about one question and learning item id like to give feedback on. related to OMNI antennas",By Geoff T,"Jul 21, 2019",5,google-cbrs-cpi-training
"The course was fine but I never received an email to download mt certificate, I have the password. Please contact me.",By William J,"Jun 07, 2019",5,google-cbrs-cpi-training
Well presented course material that takes you step by step through the required learning. ,By Ariel R,"Sep 27, 2019",5,google-cbrs-cpi-training
Course is easy enough if you have a basic background of installing wireless equipment.,By Austin N,"Dec 27, 2019",5,google-cbrs-cpi-training
The instructions were clear and concise. I enjoyed the learning process.,By Jayson P J,"Nov 22, 2019",5,google-cbrs-cpi-training
Easy to follow. Did a good job at teaching me the material. ,By Robert S,"Nov 07, 2019",5,google-cbrs-cpi-training
"Excellent Training, More than enough to pass the test.",By Scott C,"Sep 02, 2020",5,google-cbrs-cpi-training
very helpful informative course to get CPI certificate,By Wei W,"Mar 23, 2020",5,google-cbrs-cpi-training
"Material covered well, and easy to use application.",By Hugh H,"Sep 01, 2019",5,google-cbrs-cpi-training
Was able to knock it out in a day very good info.,By Jesse E,"Sep 23, 2020",5,google-cbrs-cpi-training
easy to follow along with and understand,By Aaron M,"Oct 30, 2019",5,google-cbrs-cpi-training
online learning was great,By Hoang D,"Apr 03, 2020",5,google-cbrs-cpi-training
Very well explained.,By Century S,"Feb 25, 2020",5,google-cbrs-cpi-training
Excellent course!,By Dan S,"Feb 13, 2020",5,google-cbrs-cpi-training
Great course.,By Andrew J H,"Aug 30, 2020",5,google-cbrs-cpi-training
Great course ,By KARAN K S,"Aug 17, 2020",5,google-cbrs-cpi-training
Great course,By Landon S,"Feb 09, 2020",5,google-cbrs-cpi-training
Great course,By Mark B,"Dec 03, 2019",5,google-cbrs-cpi-training
Solid presentation all the way through. I really appreciated the intermittent questions that popped up to check on learning as well the regular (but not needless) quizzing. There was visuals such as charts / .ppt for those of us more visually inclined as well as a transcript below the video that followed along with the presentation!,By Logan D,"Sep 03, 2020",5,google-cbrs-cpi-training
"Probably the best certification course I've taken in this respect. The course is planned out carefully, and I believe gave me everything I needed to ace my exam the first time around. The trainer for the majority of the course was awesome. She delivered the material in a great, professional mannor, but was never boring or monotoned. ",By Luis M C,"Nov 21, 2019",5,google-cbrs-cpi-training
The ProctorU.com system took 2 times the amount of time spent on this course over 3 days to complete.  It is the worse production user system I have used in 20+ years of my IT career.    You should switch to another vendor.,By scott w,"Sep 28, 2020",5,google-cbrs-cpi-training
"Covered all of the required information in an easy to understand way and WITH VIDEO! Great, easy way to learn. The exam process was a bit drawn out and more extensive then it needed to be, but over all a great experience",By Ryan H,"Aug 26, 2019",5,google-cbrs-cpi-training
"Great course, lectures were straight forward and easy to follow along.  The course provided all the information necessary to pass the CPI examination for certification.",By Samuel D,"Jan 24, 2020",5,google-cbrs-cpi-training
The course was straight forward and prepared me for the CPI exam. The course provided everything I needed to pass the exam. Thanks Google... thanks Coursera.,By Scot A W,"May 01, 2020",5,google-cbrs-cpi-training
"Pretty well designed course. Few things on the test werent covered, but if you read the provided resources you should be fine. ",By Jonathan L,"Jan 17, 2020",5,google-cbrs-cpi-training
"Great course, i have feedback about one question and learning item id like to give feedback on. related to OMNI antennas",By Geoff T,"Jul 21, 2019",5,google-cbrs-cpi-training
"The course was fine but I never received an email to download mt certificate, I have the password. Please contact me.",By William J,"Jun 07, 2019",5,google-cbrs-cpi-training
Well presented course material that takes you step by step through the required learning. ,By Ariel R,"Sep 27, 2019",5,google-cbrs-cpi-training
Course is easy enough if you have a basic background of installing wireless equipment.,By Austin N,"Dec 27, 2019",5,google-cbrs-cpi-training
The instructions were clear and concise. I enjoyed the learning process.,By Jayson P J,"Nov 22, 2019",5,google-cbrs-cpi-training
Easy to follow. Did a good job at teaching me the material. ,By Robert S,"Nov 07, 2019",5,google-cbrs-cpi-training
"Excellent Training, More than enough to pass the test.",By Scott C,"Sep 02, 2020",5,google-cbrs-cpi-training
